bikeid,trips,distance,stations,duration,avg_trip_distance,avg_trip_duration,avg_age,age_range,revenue
1321,286,805532,162,385134,2816.5,1346.6,36.3,50.0,469.0
1322,336,966382,158,404719,2876.1,1204.5,37.5,56.0,343.5
1323,280,828363,156,376168,2958.4,1343.5,37.1,50.0,472.0
1324,329,863441,150,400648,2624.4,1217.8,36.6,47.0,273.0
1325,328,882533,143,388760,2690.6,1185.2,38.1,46.0,289.0
1326,372,1074499,165,462213,2888.4,1242.5,36.4,53.0,407.5
1327,355,988046,170,404452,2783.2,1139.3,35.9,40.0,258.0
1328,285,810905,153,359874,2845.3,1262.7,38.8,46.0,379.5
1329,361,1022390,165,419910,2832.1,1163.2,36.8,52.0,287.5
133,423,1132160,169,551861,2676.5,1304.6,36.9,54.0,531.5
1330,305,865341,159,321288,2837.2,1053.4,35.8,49.0,162.5
1331,216,592817,136,217380,2744.5,1006.4,36.9,46.0,127.0
1332,257,670584,142,253063,2609.3,984.7,38.9,42.0,87.5
1333,330,858173,161,369371,2600.5,1119.3,37.2,56.0,393.5
1334,269,805475,140,311543,2994.3,1158.2,36.5,47.0,145.0
1335,335,841614,159,354468,2512.3,1058.1,36.5,46.0,259.0
1336,63,157171,69,57948,2494.8,919.8,36.5,39.0,6.0
1337,372,903693,162,442992,2429.3,1190.8,39.1,49.0,487.5
1338,363,1068916,161,390754,2944.7,1076.5,38.0,42.0,167.0
1339,277,765466,146,351961,2763.4,1270.6,39.5,42.0,302.5
134,397,1153242,154,651382,2904.9,1640.8,37.7,51.0,924.5
1340,253,672787,129,276235,2659.2,1091.8,39.1,85.0,139.5
1341,291,738669,144,340162,2538.4,1168.9,37.2,47.0,212.0
1342,268,707916,143,350160,2641.5,1306.6,37.2,56.0,334.0
1343,331,933579,157,442214,2820.5,1336.0,37.4,48.0,371.0
1344,247,654295,138,251863,2649.0,1019.7,37.0,47.0,127.5
1345,237,711576,133,306146,3002.4,1291.8,36.3,60.0,294.0
1346,225,590801,129,454089,2625.8,2018.2,36.5,46.0,876.0
1347,199,557991,126,239745,2804.0,1204.7,39.1,44.0,124.5
1348,270,752709,149,361409,2787.8,1338.6,36.8,45.0,386.0
1349,323,820797,153,422354,2541.2,1307.6,35.5,47.0,442.0
135,460,1271893,168,542332,2765.0,1179.0,35.6,44.0,359.5
1350,302,838425,170,310950,2776.2,1029.6,37.0,44.0,114.0
1351,318,887812,159,474906,2791.9,1493.4,37.7,58.0,825.0
1352,284,746460,158,332118,2628.4,1169.4,36.8,42.0,290.5
1353,110,334245,75,166897,3038.6,1517.2,35.6,23.0,120.0
1354,340,890795,163,363845,2620.0,1070.1,36.5,49.0,190.0
1355,260,642930,144,327920,2472.8,1261.2,37.9,42.0,336.5
1356,191,510491,105,194679,2672.7,1019.3,37.4,43.0,75.5
1357,310,947993,166,316916,3058.0,1022.3,36.6,54.0,73.0
1358,349,934521,149,444485,2677.7,1273.6,35.7,47.0,499.0
